dataset,num_hubs,num_bridges,default_nodes,default_edges,processed_nodes,processed_edges,delta_nodes,delta_edges,default_diameter,default_avg_diameter,processed_diameter,processed_avg_diameter,delta_diameter,delta_avg_diameter,default_max_degree,default_avg_degree,processed_max_degree,processed_avg_degree,delta_max_degree,delta_avg_degree,default_density,processed_density,delta_density,default_node2edge_ratio,processed_node2edge_ratio,delta_node2edge_ratio,processed_hubs_bridges_ratio,normalized_hubs_bridges_ratio
ctu-hepatitis,0,3,7,6,4,3,-3,-3,4,1.96,2,1.12,-2,-0.83,3,1.71,3,1.5,0,-0.21,0.14,0.25,0.11,1.17,1.33,0.17,1.0,0.43
ctu-hockey,0,8,22,26,14,13,-8,-13,4,2.08,3,1.87,-1,-0.21,14,2.74,9,2.36,-5,-0.37,0.06,0.07,0.02,0.85,1.08,0.23,1.0,0.36
ctu-imdb,0,2,7,6,5,4,-2,-2,5,2.04,3,1.44,-2,-0.6,3,1.71,3,1.6,0,-0.11,0.14,0.2,0.06,1.17,1.25,0.08,1.0,0.29
ctu-lahman,0,10,25,31,15,16,-10,-15,6,2.6,4,2.31,-2,-0.28,14,2.48,9,2.13,-5,-0.35,0.05,0.08,0.02,0.81,0.94,0.13,1.0,0.4
ctu-legalacts,0,2,5,5,3,3,-2,-2,3,1.44,2,0.89,-1,-0.55,4,2.0,4,2.0,0,0.0,0.25,0.5,0.25,1.0,1.0,0.0,1.0,0.4
ctu-mesh,0,6,29,33,23,23,-6,-10,3,1.93,2,1.83,-1,-0.1,32,2.28,24,2.0,-8,-0.28,0.04,0.05,0.0,0.88,1.0,0.12,1.0,0.21
ctu-mondial,12,7,34,63,28,58,-6,-5,5,2.36,5,2.12,0,-0.24,25,3.71,26,4.14,1,0.44,0.06,0.08,0.02,0.54,0.48,-0.06,1.17,0.21
ctu-mooney,0,67,68,134,1,1,-67,-133,2,1.94,0,0.0,-2,-1.94,134,3.94,2,2.0,-132,-1.94,0.03,0.0,-0.03,0.51,1.0,0.49,1.0,0.99
ctu-movielens,0,3,7,6,4,3,-3,-3,4,1.96,2,1.12,-2,-0.83,3,1.71,3,1.5,0,-0.21,0.14,0.25,0.11,1.17,1.33,0.17,1.0,0.43
ctu-musklarge,0,0,2,1,2,1,0,0,1,0.5,1,0.5,0,0.0,1,1.0,1,1.0,0,0.0,0.5,0.5,0.0,2.0,2.0,0.0,,0.0
ctu-musksmall,0,0,2,1,2,1,0,0,1,0.5,1,0.5,0,0.0,1,1.0,1,1.0,0,0.0,0.5,0.5,0.0,2.0,2.0,0.0,,0.0
ctu-mutagenesis,0,1,3,3,2,2,-1,-1,2,0.89,1,0.5,-1,-0.39,3,2.0,3,2.0,0,0.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,0.33
