seeds,process_bridge,bridge_strategy,process_hub,hub_strategy,best_epochs,avg_training_time_s,best_test_accuracy_mean,best_test_accuracy_var,best_test_average_precision_mean,best_test_average_precision_var,best_test_f1_mean,best_test_f1_var,best_test_roc_auc_mean,best_test_roc_auc_var,best_val_accuracy_mean,best_val_accuracy_var,best_val_average_precision_mean,best_val_average_precision_var,best_val_f1_mean,best_val_f1_var,best_val_roc_auc_mean,best_val_roc_auc_var
"[42, 43, 44, 45, 46]",False,default,False,default_combinations,"[7, 7, 4, 9, 6]",317.732,0.65,0.0,0.752,0.0,0.735,0.001,0.697,0.0,0.62,0.0,0.728,0.0,0.711,0.001,0.658,0.0
"[42, 43, 44, 45, 46]",True,default,False,default_combinations,"[5, 7, 3, 10, 5]",261.288,0.648,0.0,0.761,0.0,0.709,0.001,0.702,0.0,0.629,0.0,0.736,0.0,0.7,0.0,0.663,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,False,default_combinations,"[16, 24, 17, 17, 22]",276.762,0.618,0.0,0.709,0.0,0.714,0.0,0.647,0.0,0.598,0.0,0.668,0.0,0.699,0.0,0.608,0.0
"[42, 43, 44, 45, 46]",True,keep_table,False,default_combinations,"[9, 9, 6, 3, 8]",447.923,0.646,0.0,0.748,0.0,0.74,0.0,0.689,0.0,0.624,0.0,0.725,0.0,0.723,0.0,0.656,0.0
