seeds,process_bridge,bridge_strategy,process_hub,hub_strategy,best_epochs,avg_training_time_s,best_test_mae_mean,best_test_mae_var,best_test_mse_mean,best_test_mse_var,best_test_r2_mean,best_test_r2_var,best_val_mae_mean,best_val_mae_var,best_val_mse_mean,best_val_mse_var,best_val_r2_mean,best_val_r2_var
"[42, 43, 44, 45, 46]",False,default,False,default_combinations,"[3, 5, 5, 2, 2]",291.946,0.367,0.0,0.308,0.0,-0.329,0.007,0.381,0.0,0.314,0.0,-0.377,0.001
"[42, 43, 44, 45, 46]",True,default,False,default_combinations,"[3, 4, 1, 4, 4]",612.074,0.367,0.0,0.309,0.0,-0.336,0.009,0.374,0.0,0.307,0.0,-0.347,0.002
"[42, 43, 44, 45, 46]",True,keep_attributes,False,default_combinations,"[9, 9, 6, 9, 9]",711.691,0.387,0.0,0.322,0.0,-0.389,0.005,0.375,0.0,0.301,0.0,-0.319,0.002
"[42, 43, 44, 45, 46]",True,keep_table,False,default_combinations,"[1, 1, 8, 1, 3]",1011.331,0.378,0.001,0.308,0.001,-0.33,0.017,0.37,0.0,0.292,0.0,-0.28,0.005
