seeds,process_bridge,bridge_strategy,process_hub,hub_strategy,best_epochs,avg_training_time_s,best_test_mae_mean,best_test_mae_var,best_test_mse_mean,best_test_mse_var,best_test_r2_mean,best_test_r2_var,best_val_mae_mean,best_val_mae_var,best_val_mse_mean,best_val_mse_var,best_val_r2_mean,best_val_r2_var
"[42, 43, 44, 45, 46]",False,default,False,default_combinations,"[12, 15, 14, 13, 15]",591.556,46.035,0.037,54403.382,18593.883,0.127,0.0,47.398,0.045,146088.574,5471.84,0.045,0.0
"[42, 43, 44, 45, 46]",True,default,False,default_combinations,"[15, 15, 14, 14, 15]",413.055,45.427,0.06,54044.137,148300.337,0.133,0.0,47.002,0.03,145790.91,109006.126,0.047,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,False,default_combinations,"[15, 15, 15, 15, 14]",472.777,46.035,0.003,55116.01,7351.535,0.116,0.0,47.684,0.019,146870.716,6623.09,0.04,0.0
"[42, 43, 44, 45, 46]",True,keep_table,False,default_combinations,"[13, 15, 15, 13, 12]",750.054,45.618,0.182,54166.481,128865.219,0.131,0.0,47.194,0.019,145930.909,81456.891,0.046,0.0
