seeds,process_bridge,bridge_strategy,process_hub,hub_strategy,best_epochs,avg_training_time_s,best_test_mae_mean,best_test_mae_var,best_test_mse_mean,best_test_mse_var,best_test_r2_mean,best_test_r2_var,best_val_mae_mean,best_val_mae_var,best_val_mse_mean,best_val_mse_var,best_val_r2_mean,best_val_r2_var
"[42, 43, 44, 45, 46]",False,default,False,default_combinations,"[30, 17, 26, 29, 35]",110.628,0.038,0.0,0.011,0.0,0.082,0.0,0.034,0.0,0.009,0.0,0.141,0.0
"[42, 43, 44, 45, 46]",False,default,True,keep_table,"[39, 12, 28, 16, 23]",130.726,0.038,0.0,0.011,0.0,0.083,0.0,0.034,0.0,0.008,0.0,0.15,0.0
"[42, 43, 44, 45, 46]",True,default,False,default_combinations,"[27, 39, 21, 38, 26]",123.133,0.039,0.0,0.011,0.0,0.087,0.0,0.034,0.0,0.009,0.0,0.141,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,False,default_combinations,"[38, 37, 37, 44, 45]",122.205,0.043,0.0,0.013,0.0,-0.066,0.0,0.038,0.0,0.01,0.0,-0.035,0.0
"[42, 43, 44, 45, 46]",True,keep_table,False,default_combinations,"[35, 35, 30, 34, 26]",186.786,0.039,0.0,0.011,0.0,0.077,0.0,0.034,0.0,0.009,0.0,0.131,0.0
"[42, 43, 44, 45, 46]",True,default,True,keep_table,"[39, 40, 42, 38, 16]",116.827,0.039,0.0,0.011,0.0,0.097,0.001,0.034,0.0,0.008,0.0,0.144,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,True,keep_table,"[49, 42, 26, 40, 48]",131.754,0.043,0.0,0.013,0.0,-0.064,0.0,0.038,0.0,0.01,0.0,-0.034,0.0
"[42, 43, 44, 45, 46]",True,keep_table,True,keep_table,"[30, 29, 35, 42, 16]",204.42,0.039,0.0,0.011,0.0,0.078,0.0,0.034,0.0,0.009,0.0,0.137,0.0
