seeds,process_bridge,bridge_strategy,process_hub,hub_strategy,best_epochs,avg_training_time_s,best_test_accuracy_mean,best_test_accuracy_var,best_test_average_precision_mean,best_test_average_precision_var,best_test_f1_mean,best_test_f1_var,best_test_roc_auc_mean,best_test_roc_auc_var,best_val_accuracy_mean,best_val_accuracy_var,best_val_average_precision_mean,best_val_average_precision_var,best_val_f1_mean,best_val_f1_var,best_val_roc_auc_mean,best_val_roc_auc_var
"[42, 43, 44, 45, 46]",False,default,False,default_combinations,"[10, 7, 10, 8, 9]",424.464,0.686,0.0,0.76,0.0,0.778,0.0,0.705,0.0,0.704,0.0,0.786,0.0,0.792,0.0,0.705,0.0
"[42, 43, 44, 45, 46]",True,default,False,default_combinations,"[1, 3, 1, 1, 1]",831.242,0.702,0.0,0.79,0.0,0.78,0.0,0.736,0.0,0.715,0.0,0.812,0.0,0.797,0.0,0.733,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,False,default_combinations,"[1, 2, 5, 2, 2]",2222.892,0.7,0.0,0.789,0.0,0.773,0.0,0.734,0.0,0.713,0.0,0.813,0.0,0.791,0.0,0.734,0.0
"[42, 43, 44, 45, 46]",True,keep_table,False,default_combinations,"[10, 9, 10, 10, 10]",4721.753,0.749,0.0,0.895,0.0,0.807,0.0,0.835,0.0,0.751,0.0,0.9,0.0,0.807,0.0,0.826,0.0
