seeds,process_bridge,bridge_strategy,process_hub,hub_strategy,best_epochs,avg_training_time_s,best_test_accuracy_mean,best_test_accuracy_var,best_test_average_precision_mean,best_test_average_precision_var,best_test_f1_mean,best_test_f1_var,best_test_roc_auc_mean,best_test_roc_auc_var,best_val_accuracy_mean,best_val_accuracy_var,best_val_average_precision_mean,best_val_average_precision_var,best_val_f1_mean,best_val_f1_var,best_val_roc_auc_mean,best_val_roc_auc_var
"[42, 43, 44, 45, 46]",False,default,False,default_combinations,"[78, 16, 21, 25, 32]",261.894,0.929,0.001,0.97,0.0,0.891,0.001,0.985,0.0,0.943,0.001,0.971,0.0,0.904,0.001,0.986,0.0
"[42, 43, 44, 45, 46]",True,default,False,default_combinations,"[20, 27, 24, 27, 18]",232.595,0.936,0.0,0.961,0.0,0.902,0.0,0.986,0.0,0.941,0.0,0.968,0.0,0.9,0.0,0.987,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,False,default_combinations,"[31, 40, 30, 19, 18]",212.393,0.939,0.0,0.969,0.0,0.906,0.0,0.986,0.0,0.944,0.0,0.97,0.0,0.904,0.0,0.987,0.0
"[42, 43, 44, 45, 46]",True,keep_table,False,default_combinations,"[15, 14, 37, 126, 40]",279.198,0.949,0.0,0.961,0.0,0.921,0.0,0.986,0.0,0.951,0.0,0.974,0.0,0.918,0.0,0.989,0.0
