seeds,process_bridge,bridge_strategy,process_hub,hub_strategy,best_epochs,avg_training_time_s,best_test_accuracy_mean,best_test_accuracy_var,best_test_average_precision_mean,best_test_average_precision_var,best_test_f1_mean,best_test_f1_var,best_test_roc_auc_mean,best_test_roc_auc_var,best_val_accuracy_mean,best_val_accuracy_var,best_val_average_precision_mean,best_val_average_precision_var,best_val_f1_mean,best_val_f1_var,best_val_roc_auc_mean,best_val_roc_auc_var
"[42, 43, 44, 45, 46]",False,default,False,default_combinations,"[11, 3, 8, 10, 6]",345.307,0.985,0.0,0.034,0.0,0.0,0.0,0.664,0.0,0.965,0.0,0.065,0.0,0.0,0.0,0.648,0.0
"[42, 43, 44, 45, 46]",False,default,True,keep_table,"[10, 11, 10, 10, 11]",519.667,0.985,0.0,0.058,0.0,0.0,0.0,0.839,0.0,0.965,0.0,0.081,0.0,0.0,0.0,0.75,0.0
"[42, 43, 44, 45, 46]",True,default,False,default_combinations,"[9, 11, 10, 9, 11]",258.867,0.985,0.0,0.058,0.0,0.0,0.0,0.809,0.0,0.965,0.0,0.093,0.0,0.0,0.0,0.742,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,False,default_combinations,"[1, 1, 2, 2, 6]",326.917,0.985,0.0,0.028,0.0,0.0,0.0,0.683,0.0,0.965,0.0,0.049,0.0,0.0,0.0,0.602,0.0
"[42, 43, 44, 45, 46]",True,keep_table,False,default_combinations,"[8, 11, 8, 10, 9]",468.418,0.985,0.0,0.091,0.0,0.0,0.0,0.842,0.0,0.965,0.0,0.114,0.0,0.001,0.0,0.78,0.0
"[42, 43, 44, 45, 46]",True,default,True,keep_table,"[11, 9, 11, 10, 10]",415.678,0.985,0.0,0.075,0.0,0.0,0.0,0.855,0.0,0.965,0.0,0.104,0.0,0.0,0.0,0.775,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,True,keep_table,"[2, 4, 1, 1, 5]",440.641,0.985,0.0,0.028,0.0,0.0,0.0,0.684,0.0,0.965,0.0,0.049,0.0,0.0,0.0,0.602,0.0
"[42, 43, 44, 45, 46]",True,keep_table,True,keep_table,"[11, 11, 10, 11, 11]",679.781,0.985,0.0,0.102,0.0,0.0,0.0,0.87,0.0,0.965,0.0,0.118,0.0,0.001,0.0,0.797,0.0
