seeds,process_bridge,bridge_strategy,process_hub,hub_strategy,best_epochs,avg_training_time_s,best_test_accuracy_mean,best_test_accuracy_var,best_test_average_precision_mean,best_test_average_precision_var,best_test_f1_mean,best_test_f1_var,best_test_roc_auc_mean,best_test_roc_auc_var,best_val_accuracy_mean,best_val_accuracy_var,best_val_average_precision_mean,best_val_average_precision_var,best_val_f1_mean,best_val_f1_var,best_val_roc_auc_mean,best_val_roc_auc_var
"[42, 43, 44, 45, 46]",False,default,False,default_combinations,"[4, 8, 6, 7, 5]",1183.215,0.976,0.0,0.389,0.0,0.306,0.0,0.906,0.0,0.975,0.0,0.395,0.0,0.309,0.0,0.903,0.0
"[42, 43, 44, 45, 46]",False,default,True,keep_table,"[7, 6, 8, 6, 6]",1404.742,0.976,0.0,0.421,0.0,0.332,0.0,0.917,0.0,0.975,0.0,0.416,0.0,0.334,0.0,0.91,0.0
"[42, 43, 44, 45, 46]",True,default,False,default_combinations,"[6, 6, 8, 6, 8]",564.192,0.976,0.0,0.41,0.0,0.34,0.0,0.913,0.0,0.975,0.0,0.414,0.0,0.341,0.0,0.909,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,False,default_combinations,"[9, 10, 10, 9, 9]",1207.945,0.975,0.0,0.389,0.0,0.321,0.0,0.908,0.0,0.975,0.0,0.388,0.0,0.322,0.0,0.904,0.0
"[42, 43, 44, 45, 46]",True,keep_table,False,default_combinations,"[7, 6, 6, 7, 8]",1289.806,0.976,0.0,0.443,0.0,0.352,0.0,0.923,0.0,0.976,0.0,0.449,0.0,0.354,0.0,0.92,0.0
"[42, 43, 44, 45, 46]",True,default,True,keep_table,"[9, 8, 8, 6, 7]",711.317,0.976,0.0,0.436,0.0,0.334,0.0,0.922,0.0,0.975,0.0,0.429,0.0,0.328,0.0,0.915,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,True,keep_table,"[8, 9, 9, 10, 10]",1499.941,0.976,0.0,0.411,0.0,0.328,0.0,0.917,0.0,0.975,0.0,0.404,0.0,0.323,0.0,0.91,0.0
"[42, 43, 44, 45, 46]",True,keep_table,True,keep_table,"[9, 7, 8, 7, 7]",1529.188,0.976,0.0,0.465,0.0,0.364,0.0,0.932,0.0,0.976,0.0,0.46,0.0,0.363,0.0,0.925,0.0
