seeds,process_bridge,bridge_strategy,process_hub,hub_strategy,best_epochs,avg_training_time_s,best_test_mae_mean,best_test_mae_var,best_test_mse_mean,best_test_mse_var,best_test_r2_mean,best_test_r2_var,best_val_mae_mean,best_val_mae_var,best_val_mse_mean,best_val_mse_var,best_val_r2_mean,best_val_r2_var
"[42, 43, 44, 45, 46]",False,default,False,default_combinations,"[21, 21, 21, 21, 21]",432.245,1771942.574,1006.757,11934876555837.023,1.2687766962108558e+16,-0.357,0.0,1800640.251,1010.251,11641176105855.525,1.3102080228176436e+16,-0.386,0.0
"[42, 43, 44, 45, 46]",True,default,False,default_combinations,"[21, 21, 21, 21, 21]",254.454,1771945.101,243.872,11934885526583.396,3073477012359462.0,-0.357,0.0,1800642.782,244.719,11641185221902.893,3173839648527779.0,-0.386,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,False,default_combinations,"[21, 21, 21, 21, 21]",263.108,1771946.324,63.765,11934889869875.318,803612743848750.8,-0.357,0.0,1800644.008,63.986,11641189635539.922,829854131513402.4,-0.386,0.0
"[42, 43, 44, 45, 46]",True,keep_table,False,default_combinations,"[21, 21, 21, 21, 21]",545.287,1771949.108,161.382,11934899751976.428,2033872364800804.0,-0.357,0.0,1800646.796,161.942,11641199677697.395,2100287099032708.0,-0.386,0.0
