seeds,process_bridge,bridge_strategy,process_hub,hub_strategy,best_epochs,avg_training_time_s,best_test_mae_mean,best_test_mae_var,best_test_mse_mean,best_test_mse_var,best_test_r2_mean,best_test_r2_var,best_val_mae_mean,best_val_mae_var,best_val_mse_mean,best_val_mse_var,best_val_r2_mean,best_val_r2_var
"[42, 43, 44, 45, 46]",False,default,False,default_combinations,"[64, 103, 124, 113, 101]",118.183,50.532,3.931,9229.302,597808.03,0.078,0.006,39.631,0.602,5509.365,203696.451,0.155,0.005
"[42, 43, 44, 45, 46]",False,default,True,keep_table,"[76, 93, 92, 73, 77]",118.356,51.204,1.065,9621.412,98357.953,0.039,0.001,39.795,0.487,5794.283,72098.368,0.112,0.002
"[42, 43, 44, 45, 46]",True,default,False,default_combinations,"[63, 56, 61, 91, 72]",110.384,55.486,8.58,10519.336,866737.913,-0.051,0.009,41.552,0.312,6409.127,172612.393,0.017,0.004
"[42, 43, 44, 45, 46]",True,keep_attributes,False,default_combinations,"[76, 66, 61, 55, 86]",128.633,54.645,7.42,10216.885,600224.986,-0.021,0.006,40.415,0.052,6207.219,107326.91,0.048,0.003
"[42, 43, 44, 45, 46]",True,keep_table,False,default_combinations,"[76, 59, 70, 86, 82]",146.973,52.579,3.557,9968.479,328510.009,0.004,0.003,39.27,0.123,5987.857,67363.814,0.082,0.002
"[42, 43, 44, 45, 46]",True,default,True,keep_table,"[95, 117, 66, 88, 83]",135.592,53.224,3.745,9805.173,222792.0,0.021,0.002,42.022,1.122,6033.784,127434.257,0.075,0.003
"[42, 43, 44, 45, 46]",True,keep_attributes,True,keep_table,"[70, 59, 85, 67, 105]",122.111,52.879,10.556,9730.042,746557.862,0.028,0.007,40.579,0.74,6042.913,110663.268,0.073,0.003
"[42, 43, 44, 45, 46]",True,keep_table,True,keep_table,"[81, 56, 84, 83, 75]",155.573,51.686,4.04,9760.432,468043.171,0.025,0.005,39.084,0.478,5898.187,189982.8,0.096,0.004
