seeds,process_bridge,bridge_strategy,process_hub,hub_strategy,best_epochs,avg_training_time_s,best_test_accuracy_mean,best_test_accuracy_var,best_test_average_precision_mean,best_test_average_precision_var,best_test_f1_mean,best_test_f1_var,best_test_roc_auc_mean,best_test_roc_auc_var,best_val_accuracy_mean,best_val_accuracy_var,best_val_average_precision_mean,best_val_average_precision_var,best_val_f1_mean,best_val_f1_var,best_val_roc_auc_mean,best_val_roc_auc_var
"[42, 43, 44, 45, 46]",False,default,False,default_combinations,"[8, 7, 8, 6, 7]",367.022,0.851,0.0,0.912,0.0,0.919,0.0,0.656,0.0,0.903,0.0,0.951,0.0,0.949,0.0,0.688,0.0
"[42, 43, 44, 45, 46]",False,default,True,keep_table,"[6, 7, 6, 8, 7]",567.446,0.851,0.0,0.929,0.0,0.919,0.0,0.726,0.0,0.903,0.0,0.958,0.0,0.949,0.0,0.736,0.0
"[42, 43, 44, 45, 46]",True,default,False,default_combinations,"[8, 6, 8, 7, 7]",276.1,0.894,0.0,0.945,0.0,0.94,0.0,0.799,0.0,0.916,0.0,0.967,0.0,0.955,0.0,0.789,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,False,default_combinations,"[8, 5, 8, 5, 8]",300.409,0.851,0.0,0.908,0.0,0.919,0.0,0.708,0.0,0.903,0.0,0.942,0.0,0.949,0.0,0.664,0.0
"[42, 43, 44, 45, 46]",True,keep_table,False,default_combinations,"[7, 7, 8, 7, 7]",498.606,0.919,0.0,0.979,0.0,0.953,0.0,0.914,0.0,0.925,0.0,0.976,0.0,0.96,0.0,0.84,0.0
"[42, 43, 44, 45, 46]",True,default,True,keep_table,"[6, 6, 7, 7, 5]",414.91,0.898,0.0,0.949,0.0,0.942,0.0,0.812,0.0,0.917,0.0,0.969,0.0,0.956,0.0,0.797,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,True,keep_table,"[6, 6, 6, 8, 5]",465.958,0.851,0.0,0.909,0.0,0.919,0.0,0.706,0.0,0.903,0.0,0.943,0.0,0.949,0.0,0.67,0.0
"[42, 43, 44, 45, 46]",True,keep_table,True,keep_table,"[8, 8, 8, 6, 7]",640.619,0.921,0.0,0.98,0.0,0.954,0.0,0.916,0.0,0.925,0.0,0.976,0.0,0.96,0.0,0.842,0.0
