seeds,process_bridge,bridge_strategy,process_hub,hub_strategy,best_epochs,avg_training_time_s,best_test_mae_mean,best_test_mae_var,best_test_mse_mean,best_test_mse_var,best_test_r2_mean,best_test_r2_var,best_val_mae_mean,best_val_mae_var,best_val_mse_mean,best_val_mse_var,best_val_r2_mean,best_val_r2_var
"[42, 43, 44, 45, 46]",False,default,False,default_combinations,"[10, 9, 10, 9, 10]",307.9,14.799,0.0,2677.694,558.243,0.129,0.0,12.609,0.0,2039.826,305.756,0.148,0.0
"[42, 43, 44, 45, 46]",True,default,False,default_combinations,"[8, 3, 5, 7, 6]",805.491,15.273,0.0,2922.259,177.097,0.049,0.0,13.056,0.0,2249.387,114.433,0.06,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,False,default_combinations,"[10, 8, 8, 9, 7]",2314.87,15.239,0.0,2900.206,42.814,0.057,0.0,12.979,0.0,2224.963,23.722,0.07,0.0
"[42, 43, 44, 45, 46]",True,keep_table,False,default_combinations,"[10, 10, 10, 10, 10]",3276.274,13.624,0.001,2500.179,154.85,0.187,0.0,11.769,0.0,1878.516,23.053,0.215,0.0
