seeds,process_bridge,bridge_strategy,process_hub,hub_strategy,best_epochs,avg_training_time_s,best_test_accuracy_mean,best_test_accuracy_var,best_test_average_precision_mean,best_test_average_precision_var,best_test_f1_mean,best_test_f1_var,best_test_roc_auc_mean,best_test_roc_auc_var,best_val_accuracy_mean,best_val_accuracy_var,best_val_average_precision_mean,best_val_average_precision_var,best_val_f1_mean,best_val_f1_var,best_val_roc_auc_mean,best_val_roc_auc_var
"[42, 43, 44, 45, 46]",False,default,False,default_combinations,"[10, 10, 10, 10, 10]",479.866,0.753,0.0,0.7,0.0,0.654,0.0,0.817,0.0,0.742,0.0,0.727,0.0,0.672,0.0,0.814,0.0
"[42, 43, 44, 45, 46]",True,default,False,default_combinations,"[7, 10, 6, 7, 9]",1009.344,0.739,0.0,0.684,0.0,0.633,0.0,0.786,0.0,0.731,0.0,0.72,0.0,0.653,0.0,0.787,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,False,default_combinations,"[8, 9, 10, 9, 10]",3105.636,0.738,0.0,0.679,0.0,0.638,0.0,0.782,0.0,0.733,0.0,0.722,0.0,0.661,0.0,0.787,0.0
"[42, 43, 44, 45, 46]",True,keep_table,False,default_combinations,"[10, 10, 10, 10, 10]",7237.27,0.79,0.0,0.805,0.0,0.709,0.0,0.862,0.0,0.778,0.0,0.82,0.0,0.713,0.0,0.857,0.0
