seeds,process_bridge,bridge_strategy,process_hub,hub_strategy,best_epochs,avg_training_time_s,best_test_mae_mean,best_test_mae_var,best_test_mse_mean,best_test_mse_var,best_test_r2_mean,best_test_r2_var,best_val_mae_mean,best_val_mae_var,best_val_mse_mean,best_val_mse_var,best_val_r2_mean,best_val_r2_var
"[42, 43, 44, 45, 46]",False,default,False,default_combinations,"[9, 10, 10, 9, 9]",349.579,52.113,0.006,428811.592,171821.964,0.029,0.0,47.721,0.001,191985.7,95712.922,0.06,0.0
"[42, 43, 44, 45, 46]",True,default,False,default_combinations,"[7, 7, 5, 4, 9]",998.931,57.553,0.007,436950.981,2019474.071,0.011,0.0,52.988,0.014,199716.011,1650999.457,0.022,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,False,default_combinations,"[8, 6, 6, 7, 10]",3254.789,57.281,0.018,436460.117,448966.526,0.012,0.0,52.675,0.033,199234.149,336398.794,0.025,0.0
"[42, 43, 44, 45, 46]",True,keep_table,False,default_combinations,"[10, 10, 10, 10, 10]",3800.73,48.41,0.007,423721.774,19539.94,0.041,0.0,43.971,0.003,186739.567,18541.903,0.086,0.0
