seeds,process_bridge,bridge_strategy,process_hub,hub_strategy,best_epochs,avg_training_time_s,best_test_mae_mean,best_test_mae_var,best_test_mse_mean,best_test_mse_var,best_test_r2_mean,best_test_r2_var,best_val_mae_mean,best_val_mae_var,best_val_mse_mean,best_val_mse_var,best_val_r2_mean,best_val_r2_var
"[42, 43, 44, 45, 46]",False,default,False,default_combinations,"[10, 10, 10, 10, 10]",1164.879,0.063,0.0,0.094,0.0,0.313,0.0,0.058,0.0,0.089,0.0,0.336,0.0
"[42, 43, 44, 45, 46]",False,default,True,keep_table,"[9, 10, 9, 10, 10]",1939.387,0.063,0.0,0.094,0.0,0.312,0.0,0.057,0.0,0.089,0.0,0.338,0.0
"[42, 43, 44, 45, 46]",True,default,False,default_combinations,"[10, 10, 10, 9, 9]",1923.705,0.065,0.0,0.1,0.0,0.266,0.0,0.058,0.0,0.095,0.0,0.29,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,False,default_combinations,"[10, 10, 10, 10, 10]",3470.443,0.068,0.0,0.133,0.0,0.025,0.001,0.062,0.0,0.129,0.0,0.035,0.001
"[42, 43, 44, 45, 46]",True,keep_table,False,default_combinations,"[10, 10, 10, 10, 9]",3354.066,0.063,0.0,0.093,0.0,0.32,0.0,0.057,0.0,0.088,0.0,0.344,0.0
"[42, 43, 44, 45, 46]",True,default,True,keep_table,"[10, 10, 8, 9, 9]",3323.768,0.064,0.0,0.098,0.0,0.277,0.0,0.058,0.0,0.094,0.0,0.302,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,True,keep_table,"[9, 8, 10, 9, 10]",5282.852,0.068,0.0,0.132,0.0,0.03,0.001,0.062,0.0,0.129,0.0,0.039,0.002
"[42, 43, 44, 45, 46]",True,keep_table,True,keep_table,"[9, 9, 10, 10, 9]",5090.373,0.063,0.0,0.092,0.0,0.324,0.0,0.057,0.0,0.088,0.0,0.344,0.0
