seeds,process_bridge,bridge_strategy,process_hub,hub_strategy,best_epochs,avg_training_time_s,best_test_accuracy_mean,best_test_accuracy_var,best_test_average_precision_mean,best_test_average_precision_var,best_test_f1_mean,best_test_f1_var,best_test_roc_auc_mean,best_test_roc_auc_var,best_val_accuracy_mean,best_val_accuracy_var,best_val_average_precision_mean,best_val_average_precision_var,best_val_f1_mean,best_val_f1_var,best_val_roc_auc_mean,best_val_roc_auc_var
"[42, 43, 44, 45, 46]",False,default,False,default_combinations,"[8, 10, 10, 10, 10]",938.841,0.975,0.0,0.317,0.0,0.205,0.0,0.891,0.0,0.973,0.0,0.353,0.0,0.206,0.0,0.902,0.0
"[42, 43, 44, 45, 46]",False,default,True,keep_table,"[10, 9, 9, 7, 10]",1134.055,0.975,0.0,0.325,0.0,0.217,0.0,0.894,0.0,0.973,0.0,0.361,0.0,0.217,0.0,0.906,0.0
"[42, 43, 44, 45, 46]",True,default,False,default_combinations,"[9, 9, 8, 10, 10]",470.048,0.975,0.0,0.315,0.0,0.222,0.0,0.892,0.0,0.972,0.0,0.343,0.0,0.237,0.0,0.901,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,False,default_combinations,"[10, 10, 10, 10, 10]",723.585,0.975,0.0,0.304,0.0,0.193,0.0,0.89,0.0,0.972,0.0,0.338,0.0,0.194,0.0,0.899,0.0
"[42, 43, 44, 45, 46]",True,keep_table,False,default_combinations,"[8, 10, 10, 9, 10]",1147.703,0.975,0.0,0.324,0.0,0.214,0.0,0.896,0.0,0.973,0.0,0.361,0.0,0.217,0.0,0.905,0.0
"[42, 43, 44, 45, 46]",True,default,True,keep_table,"[10, 8, 10, 8, 9]",590.508,0.975,0.0,0.319,0.0,0.211,0.0,0.895,0.0,0.972,0.0,0.35,0.0,0.211,0.0,0.904,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,True,keep_table,"[10, 10, 10, 10, 9]",856.631,0.975,0.0,0.309,0.0,0.192,0.0,0.892,0.0,0.973,0.0,0.344,0.0,0.198,0.0,0.902,0.0
"[42, 43, 44, 45, 46]",True,keep_table,True,keep_table,"[10, 9, 9, 9, 10]",1271.563,0.975,0.0,0.33,0.0,0.213,0.0,0.898,0.0,0.973,0.0,0.365,0.0,0.215,0.0,0.908,0.0
