seeds,process_bridge,bridge_strategy,process_hub,hub_strategy,best_epochs,avg_training_time_s,best_test_mae_mean,best_test_mae_var,best_test_mse_mean,best_test_mse_var,best_test_r2_mean,best_test_r2_var,best_val_mae_mean,best_val_mae_var,best_val_mse_mean,best_val_mse_var,best_val_r2_mean,best_val_r2_var
"[42, 43, 44, 45, 46]",False,default,False,default_combinations,"[9, 9, 10, 9, 8]",350.169,46.578,0.098,55709.509,330692.315,0.106,0.0,47.88,0.058,147447.696,241483.878,0.036,0.0
"[42, 43, 44, 45, 46]",True,default,False,default_combinations,"[10, 10, 10, 10, 10]",300.203,45.886,0.049,54489.693,178509.803,0.126,0.0,47.456,0.007,146256.205,140150.934,0.044,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,False,default_combinations,"[10, 10, 10, 10, 9]",305.062,46.792,0.159,56369.745,274889.884,0.096,0.0,48.314,0.038,148095.215,233374.199,0.032,0.0
"[42, 43, 44, 45, 46]",True,keep_table,False,default_combinations,"[10, 10, 10, 10, 9]",498.509,46.358,0.037,54974.365,329553.449,0.118,0.0,47.816,0.029,146843.975,330802.752,0.04,0.0
