seeds,process_bridge,bridge_strategy,process_hub,hub_strategy,best_epochs,avg_training_time_s,best_test_mae_mean,best_test_mae_var,best_test_mse_mean,best_test_mse_var,best_test_r2_mean,best_test_r2_var,best_val_mae_mean,best_val_mae_var,best_val_mse_mean,best_val_mse_var,best_val_r2_mean,best_val_r2_var
"[42, 43, 44, 45, 46]",False,default,False,default_combinations,"[150, 120, 147, 129, 119]",58.11,52.962,1.508,10016.001,251454.899,-0.001,0.003,40.371,0.613,6047.259,129376.455,0.073,0.003
"[42, 43, 44, 45, 46]",False,default,True,keep_table,"[123, 119, 112, 144, 110]",63.309,53.627,2.004,10360.645,249870.115,-0.035,0.002,39.601,0.509,6179.692,93062.274,0.052,0.002
"[42, 43, 44, 45, 46]",True,default,False,default_combinations,"[159, 105, 131, 130, 91]",58.417,56.189,10.024,10569.411,780761.821,-0.056,0.008,42.792,0.61,6511.087,123347.504,0.002,0.003
"[42, 43, 44, 45, 46]",True,keep_attributes,False,default_combinations,"[105, 107, 113, 136, 113]",59.678,55.476,2.379,10574.001,183536.622,-0.056,0.002,41.122,0.022,6381.904,42170.391,0.021,0.001
"[42, 43, 44, 45, 46]",True,keep_table,False,default_combinations,"[160, 135, 113, 150, 141]",74.931,52.338,2.868,9879.046,342957.061,0.013,0.003,39.367,0.208,5983.457,72655.001,0.082,0.002
"[42, 43, 44, 45, 46]",True,default,True,keep_table,"[123, 105, 126, 129, 157]",60.244,54.623,5.124,10351.767,379940.255,-0.034,0.004,42.3,0.653,6297.503,75992.11,0.034,0.002
"[42, 43, 44, 45, 46]",True,keep_attributes,True,keep_table,"[110, 106, 131, 120, 138]",61.234,54.321,3.838,10285.566,220508.06,-0.027,0.002,40.744,0.418,6225.661,49575.619,0.045,0.001
"[42, 43, 44, 45, 46]",True,keep_table,True,keep_table,"[136, 155, 108, 145, 141]",77.743,52.536,1.626,9883.739,293026.318,0.013,0.003,39.283,0.599,5939.373,145589.67,0.089,0.003
